2011/04/28.1451.58 FAILED FILTERING HEURISTICS (planetlab-01.kusa.ac.jp, 158.130.6.254, 2011-04-28 14:51:58 -0700): {:destination_pingable=>true, :direction=>true, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1452.34 FAILED FILTERING HEURISTICS (planetlab-01.kusa.ac.jp, 88.255.65.219, 2011-04-28 14:52:34 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1453.28 FAILED FILTERING HEURISTICS (pl1.6test.edu.cn, 158.130.6.254, 2011-04-28 14:53:28 -0700): {:destination_pingable=>true, :direction=>true, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1453.32 FAILED FILTERING HEURISTICS (planetlab1.nvlab.org, 158.130.6.254, 2011-04-28 14:53:32 -0700): {:destination_pingable=>true, :direction=>true, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>true, :historical_tr_not_reach=>false}
2011/04/28.1454.29 FAILED FILTERING HEURISTICS (planetlab-node3.it-sudparis.eu, 88.255.65.219, 2011-04-28 14:54:29 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1454.36 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 88.255.65.219, 2011-04-28 14:54:36 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1456.22 FAILED FILTERING HEURISTICS (planetlab-2.cs.auckland.ac.nz, 88.255.65.219, 2011-04-28 14:56:22 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1501.20 FAILED FILTERING HEURISTICS (planetlab2.netmedia.gist.ac.kr, 88.255.65.219, 2011-04-28 15:01:20 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1533.00 FAILED FILTERING HEURISTICS (planetlab-2.cs.auckland.ac.nz, 158.130.6.254, 2011-04-28 15:33:00 -0700): {:destination_pingable=>true, :direction=>true, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1535.23 FAILED FILTERING HEURISTICS (plnode-03.gpolab.bbn.com, 88.255.65.219, 2011-04-28 15:35:23 -0700): {:destination_pingable=>true, :direction=>true, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1539.26 FAILED FILTERING HEURISTICS (pl1.6test.edu.cn, 88.255.65.219, 2011-04-28 15:39:26 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1539.33 FAILED FILTERING HEURISTICS (planetlab-2.sjtu.edu.cn, 88.255.65.219, 2011-04-28 15:39:33 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1540.43 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 88.255.65.219, 2011-04-28 15:40:43 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
